PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
4.0,2022.0,32.0,4.0,8.0,4.0,5.0,128.0,4500.0,2160.0,5.0,25.0,68.0,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
1.0,2021.0,5.0,2.0,4.0,3.0,5.0,64.0,5000.0,0.0,3.0,15.0,0.0,1,2.0,1,0,PLS IPS Touchscreen,0,MediaTek Helio P35 (12nm),"Octa core, up to 2.35 GHz",PowerVR GE8320,1,1
3.0,2021.0,32.0,4.0,8.0,4.0,5.0,128.0,4500.0,2160.0,5.0,25.0,67.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 778G 5G (6 nm),"Octa core, up to 2.4 GHz",Adreno 642L,1,1
1.0,2021.0,13.0,2.0,6.0,3.0,5.0,128.0,6000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
4.0,2021.0,4.0,3.0,12.0,4.0,5.2,256.0,4400.0,2160.0,6.0,25.0,30.0,1,3.2,1,1,Foldable Dynamic AMOLED 2X Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
4.0,2021.0,10.0,7.0,8.0,4.0,5.1,128.0,3300.0,2160.0,6.0,15.0,30.0,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
1.0,2021.0,20.0,2.0,6.0,3.0,5.0,128.0,6000.0,1080.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1.0,2021.0,13.0,4.0,6.0,3.0,5.0,128.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
2.0,2021.0,32.0,3.0,8.0,3.0,5.0,128.0,7000.0,2160.0,5.0,25.0,0.0,1,2.0,1,1,Super AMOLED Touchscreen,1,Exynos 9825 (7 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1.0,2021.0,8.0,3.0,6.0,3.0,5.0,128.0,6000.0,1080.0,3.0,15.0,0.0,1,2.0,1,0,PLS IPS Touchscreen,0,Exynos 850 (8nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
3.0,2021.0,32.0,4.0,8.0,3.0,5.0,256.0,5000.0,2160.0,5.0,25.0,67.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
2.0,2021.0,32.0,4.0,8.0,3.0,5.0,128.0,4500.0,2160.0,5.0,25.0,67.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 720G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
2.0,2021.0,20.0,4.0,6.0,3.0,5.0,128.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Mediatek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
0.0,2021.0,5.0,4.0,3.0,3.0,5.0,32.0,5000.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS IPS Touchscreen,0,Mediatek MT6739W (28 nm),"Quad-core, 1.5 GHz",PowerVR GE8100,0,1
1.0,2020.0,8.0,4.0,6.0,3.0,5.0,32.0,5000.0,1080.0,3.0,15.0,0.0,1,2.0,1,0,PLS IPS Touchscreen,0,Mediatek Helio P35 (12nm),"Octa core, up to 2.35 GHz",PowerVR GE8320,1,1
1.0,2021.0,5.0,3.0,4.0,3.0,4.2,64.0,5000.0,0.0,2.0,15.0,0.0,1,2.0,0,0,PLS IPS Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, up to 2.0 GHz",Adreno 506,0,1
4.0,2021.0,40.0,5.0,16.0,4.0,5.2,128.0,5000.0,2160.0,6.0,25.0,68.0,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
1.0,2020.0,8.0,2.0,3.0,3.0,4.2,32.0,4000.0,0.0,3.0,0.0,0.0,1,2.0,0,0,PLS IPS Touchscreen,0,Mediatek Helio P22 (12 nm),"Octa core, up to 2.0 GHz",PowerVR GE8320,1,1
4.0,2020.0,10.0,3.0,12.0,4.0,5.0,128.0,4500.0,2160.0,6.0,25.0,68.0,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
0.0,2015.0,240.0,3.0,32.0,1.0,2.1,16.0,1200.0,320.0,1.0,0.0,0.0,0,2.0,0,0,TFT,1,,,,0,0
0.0,2014.0,128.0,1.0,4.0,1.0,4.0,16.0,2000.0,0.0,1.0,0.0,0.0,0,2.0,0,0,TFT,1,,,,0,0
0.0,2015.0,128.0,4.0,16.0,1.0,2.1,16.0,1000.0,176.0,1.0,0.0,0.0,0,2.0,0,0,TFT,1,,,,0,0
0.0,2020.0,5.0,3.0,2.0,3.0,5.0,16.0,3000.0,0.0,1.0,0.0,0.0,0,2.0,0,0,PLS TFT Touchscreen,0,Mediatek MT6739 (28 nm),"Quad-core, up to 1.5 GHz",PowerVR GE8100,0,1
1.0,2020.0,20.0,2.0,6.0,3.0,5.0,64.0,6000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
1.0,2020.0,32.0,3.0,6.0,3.0,5.0,64.0,6000.0,2160.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4.0,2021.0,10.0,6.0,8.0,4.0,5.0,128.0,4800.0,2160.0,6.0,25.0,68.0,1,3.2,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 2100 (5 nm),"Octa core, up to 2.9 GHz",Mali-G78 MP14,1,1
2.0,2020.0,32.0,2.0,8.0,3.0,5.0,128.0,7000.0,1080.0,5.0,25.0,0.0,1,2.0,1,1,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730G (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
4.0,2020.0,10.0,3.0,8.0,3.0,5.0,256.0,4300.0,2160.0,6.0,25.0,68.0,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
1.0,2020.0,5.0,2.0,3.0,3.0,4.2,32.0,4000.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
4.0,2020.0,32.0,6.0,8.0,3.0,5.0,128.0,4500.0,2160.0,6.0,25.0,68.0,1,3.2,1,1,Super AMOLED Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
1.0,2020.0,8.0,3.0,4.0,3.0,4.2,32.0,5000.0,1080.0,3.0,15.0,0.0,1,2.0,1,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, up to 1.8 GHz",Adreno 506,1,1
1.0,2020.0,20.0,4.0,6.0,3.0,5.0,64.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,MediaTek Helio P65 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52,1,1
4.0,2020.0,40.0,2.0,16.0,4.0,5.0,128.0,5000.0,2160.0,5.0,45.0,68.0,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
3.0,2020.0,32.0,3.0,8.0,3.0,5.0,128.0,4500.0,1080.0,6.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.7 GHz",Mali-G72 MP18,1,1
2.0,2019.0,32.0,5.0,8.0,3.0,5.0,128.0,4500.0,1080.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
2.0,2019.0,32.0,5.0,6.0,3.0,5.0,64.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4.0,2020.0,10.0,3.0,12.0,4.0,5.0,256.0,4500.0,2160.0,6.0,25.0,0.0,1,3.1,1,1,Foldable Dynamic AMOLED 2X Touchscreen,0,Qualcomm Snapdragon 865+ (7 nm+),"Octa core, up to 3.09 GHz",Adreno 650,1,1
1.0,2020.0,13.0,4.0,6.0,3.0,5.0,32.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,PLS TFT Touchscreen,0,Exynos 850 (8 nm),"Octa core, up to 2.2 GHz",Mali-G52,1,1
4.0,2020.0,10.0,3.0,8.0,3.0,5.0,256.0,3300.0,2160.0,6.0,15.0,0.0,1,3.1,1,1,Dynamic AMOLED Foldable Touchscreen,1,Qualcomm Snapdragon 855+ (7 nm),"Octa core, up to 2.95 GHz",Adreno 640,1,1
0.0,2020.0,5.0,3.0,2.0,3.0,4.2,16.0,3000.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,0,Qualcomm Snapdragon 439 (12 nm),"Octa core, up to 1.95 GHz",Adreno 505,0,1
0.0,2019.0,5.0,2.0,1.0,3.0,4.2,8.0,2600.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,0,Exynos 7870 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,0,0
4.0,2020.0,10.0,3.0,12.0,5.0,5.0,128.0,4500.0,2160.0,5.0,25.0,68.0,1,3.1,1,1,Dynamic AMOLED 2X Touchscreen,1,Exynos 990 (7 nm+),"Octa core, up to 2.73 GHz",Mali-G77 MP11,1,1
4.0,2019.0,10.0,3.0,12.0,5.0,5.0,256.0,4300.0,2160.0,6.0,45.0,68.0,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9825 (7 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
2.0,2019.0,16.0,3.0,6.0,3.0,5.0,64.0,6000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Exynos 9611 (10nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
4.0,2019.0,10.0,3.0,8.0,3.0,5.0,128.0,4100.0,2160.0,7.0,15.0,68.0,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1.0,2019.0,16.0,2.0,6.0,3.0,5.0,128.0,3500.0,1080.0,6.0,15.0,0.0,1,2.0,1,0,PLS TFT Touchscreen,1,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
4.0,2018.0,8.0,4.0,6.0,3.0,5.0,128.0,4000.0,1440.0,9.0,15.0,68.0,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.4 GHz",Mali-G72 MP18,1,1
2.0,2019.0,32.0,4.0,6.0,3.0,5.0,64.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
1.0,2019.0,16.0,4.0,4.0,3.0,4.2,32.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 7904 (14 nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
1.0,2019.0,8.0,4.0,4.0,3.0,4.2,32.0,4000.0,0.0,5.0,15.0,0.0,1,2.0,1,0,IPS LCS Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1.0,2019.0,8.0,4.0,3.0,3.0,5.0,32.0,4000.0,1080.0,5.0,0.0,0.0,1,2.0,0,0,IPS LCS Touchscreen,0,Mediatek MT6762 Helio P22 (12 nm),"Octa core, up to 2.0 GHz",PowerVR GE8320,1,1
3.0,2019.0,0.0,3.0,8.0,3.0,5.0,128.0,3700.0,0.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
1.0,2019.0,25.0,3.0,4.0,3.0,5.0,64.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9610 Octa (10nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
2.0,2019.0,32.0,4.0,6.0,3.0,5.0,128.0,4500.0,1080.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
1.0,2019.0,8.0,2.0,3.0,3.0,5.0,32.0,4000.0,0.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Exynos 7884 Octa (14 nm),"Octa core, up to 1.6 GHz",Mali-G71 MP2,1,1
1.0,2019.0,5.0,3.0,2.0,3.0,5.0,32.0,3400.0,0.0,2.0,0.0,0.0,1,2.0,0,0,TFT Touchscreen,0,Exynos 7884 Octa,"Octa core, up to 1.6 GHz",Mali-G71 MP2,0,1
1.0,2019.0,16.0,3.0,4.0,3.0,5.0,64.0,4000.0,1080.0,6.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 7904 Octa (14nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
4.0,2019.0,10.0,3.0,8.0,3.0,5.0,128.0,3400.0,2160.0,7.0,15.0,68.0,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
4.0,2019.0,10.0,1.0,6.0,3.0,5.0,128.0,3100.0,2160.0,6.0,15.0,68.0,1,2.0,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
1.0,2019.0,8.0,2.0,3.0,3.0,5.0,32.0,5000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,PLS-TFT Touchscreen,0,Exynos 7904 Octa (14 nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
1.0,2019.0,5.0,1.0,2.0,3.0,4.2,16.0,3400.0,1080.0,2.0,0.0,0.0,1,2.0,0,0,PLS-TFT Touchscreen,0,Exynos 7904 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,0,1
2.0,2018.0,24.0,4.0,4.0,3.0,4.2,32.0,3500.0,1080.0,5.0,0.0,0.0,1,2.0,0,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1.0,2018.0,24.0,4.0,6.0,3.0,5.0,64.0,3300.0,1080.0,5.0,0.0,0.0,1,2.0,0,0,Super AMOLED Touchscreen,1,Exynos 7885 (14 nm),"Octa core, up to 2.2 GHz",Mali-G71,1,1
2.0,2018.0,24.0,3.0,8.0,3.0,5.0,64.0,3800.0,1080.0,5.0,18.0,0.0,1,2.0,1,1,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 660 (14 nm),"Octa core, up to 2.2 GHz",Adreno 512,1,1
1.0,2018.0,8.0,4.0,4.0,3.0,4.2,32.0,3300.0,1080.0,2.0,0.0,0.0,1,2.0,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 425 (28 nm),"Quad-core, 1.4 GHz",Adreno 308,0,1
1.0,2018.0,5.0,4.0,3.0,3.0,4.2,16.0,3300.0,0.0,2.0,0.0,0.0,1,2.0,0,0,IPS LCD Touchscreen,0,Qualcomm Snapdragon 425 (28 nm),"Quad-core, 1.4 GHz",Adreno 308,0,1
0.0,2018.0,5.0,3.0,1.0,3.0,4.2,8.0,2600.0,0.0,2.0,0.0,0.0,1,2.0,0,0,PLS TFT Touchscreen,1,Exynos 7570 Quad (14 nm),"Quad-core, 1.4 GHz",Mali-T720,0,0
1.0,2018.0,16.0,4.0,4.0,3.0,4.2,32.0,3500.0,1080.0,3.0,0.0,0.0,1,2.0,0,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1.0,2018.0,5.0,3.0,3.0,3.0,4.2,16.0,3000.0,0.0,3.0,0.0,0.0,1,2.0,0,0,Super AMOLED Touchscreen,0,Exynos 7570 Quad (14 nm),"Quad-core, 1.4 GHz",Mali-T720 MP2,0,0
1.0,2018.0,8.0,3.0,4.0,3.0,4.2,32.0,3000.0,1080.0,3.0,0.0,0.0,1,2.0,0,0,Super AMOLED Touchscreen,1,Exynos 7870 Octa (14 nm),"Octa core, 1.6 GHz",Mali-T830 MP1,1,1
3.0,2018.0,8.0,4.0,6.0,3.0,5.0,64.0,3500.0,1440.0,6.0,15.0,68.0,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.8 GHz",Mali-G72 MP18,1,1
1.0,2021.0,5.0,3.0,6.0,3.0,5.0,64.0,5000.0,1080.0,3.0,10.0,0.0,1,2.0,0,0,IPS LCD Touchscreen,0,MediaTek Helio G35 (12 nm),"Octa core, up to 2.3 GHz",PowerVR GE8320,1,1
4.0,2021.0,16.0,3.0,8.0,4.0,5.2,128.0,5000.0,1080.0,5.0,120.0,53.0,1,2.0,1,1,AMOLED Touchscreen,1,Qualcomm Snapdragon 888 5G (5 nm),"Octa core, up to 2.84 GHz",Adreno 660,1,1
3.0,2021.0,16.0,3.0,8.0,4.0,5.2,128.0,5000.0,1080.0,5.0,67.0,53.0,1,2.0,1,1,AMOLED Touchscreen,1,MediaTek Dimensity 1200 5G (6 nm),"Octa core, up to 3.0 GHz",Mali-G77 MC9,1,1
1.0,2021.0,8.0,3.0,6.0,3.0,5.1,64.0,6000.0,1080.0,4.0,18.0,0.0,1,2.0,1,0,LCD Touchscreen,1,MediaTek Helio G88 (12nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
2.0,2021.0,20.0,4.0,8.0,4.0,5.2,128.0,4250.0,1080.0,5.0,33.0,53.0,1,2.0,1,0,AMOLED Touchscreen,1,Qualcomm Snapdragon 778G 5G (6 nm),"Octa core, up to 2.4 GHz",Adreno 642L,1,1
1.0,2021.0,8.0,3.0,6.0,3.0,5.1,64.0,5000.0,1080.0,4.0,18.0,0.0,1,2.0,1,0,LCD Touchscreen,1,MediaTek Helio G88 (12nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1.0,2021.0,8.0,2.0,6.0,4.0,5.1,128.0,5000.0,1080.0,5.0,18.0,0.0,1,2.0,1,0,IPS LCD Touchscreen,1,MediaTek Dimensity 700 5G (7 nm),"Octa core, up to 2.2 GHz",Mali-G57 MC2,1,1
2.0,2021.0,16.0,3.0,6.0,3.0,5.1,64.0,5020.0,1080.0,5.0,33.0,53.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 732G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1.0,2021.0,13.0,3.0,8.0,3.0,5.1,64.0,5000.0,1080.0,5.0,33.0,53.0,1,2.0,1,0,AMOLED Touchscreen,1,Mediatek Helio G95 (12 nm),"Octa core, up to 2.05 GHz",Mali-G76 MC4,1,1
2.0,2021.0,20.0,3.0,8.0,3.0,5.0,128.0,5160.0,1080.0,5.0,33.0,53.0,1,2.0,1,1,IPS LCD Touchscreen,1,Qualcomm Snapdragon 860 (7 nm),"Octa core, up to 2.96 GHz",Adreno 640,1,1
2.0,2021.0,20.0,3.0,8.0,4.0,5.1,128.0,4520.0,1080.0,5.0,33.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 870 5G (7 nm),"Octa core, up to 3.2 GHz",Adreno 650,1,1
1.0,2020.0,5.0,3.0,4.0,3.0,5.0,64.0,5000.0,1080.0,3.0,10.0,0.0,1,2.0,0,0,IPS LCD Touchscreen,1,MediaTek Helio G35 (12 nm),"Octa core, up to 2.3 GHz",PowerVR GE8320,1,1
2.0,2021.0,16.0,3.0,6.0,3.0,5.1,64.0,5020.0,1080.0,5.0,33.0,53.0,1,2.0,1,0,Super AMOLED Touchscreen â€“ 64 MP version,1,Qualcomm Snapdragon 732G (8 nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1.0,2021.0,8.0,2.0,4.0,3.0,5.0,64.0,5000.0,1080.0,4.0,18.0,0.0,1,2.0,1,0,IPS LCD Touchscreen,1,MediaTek Helio G80 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1.0,2020.0,5.0,3.0,4.0,3.0,5.0,32.0,5000.0,1080.0,3.0,10.0,0.0,1,2.0,0,0,IPS LCD Touchscreen,0,MediaTek Helio G35 (12 nm),"Octa core, 2.3 GHz",PowerVR GE8320,1,1
1.0,2020.0,8.0,3.0,6.0,3.0,5.0,64.0,6000.0,1080.0,4.0,18.0,0.0,1,2.0,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 662 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
0.0,2020.0,5.0,3.0,2.0,3.0,5.0,32.0,5000.0,1080.0,3.0,10.0,0.0,1,2.0,0,0,IPS LCD Touchscreen,0,MediaTek Helio G25 (12 nm),"Octa core, 2.0 GHz",PowerVR GE8320 (650 MHz),0,1
1.0,2021.0,13.0,3.0,4.0,3.0,5.2,64.0,4000.0,1080.0,5.0,18.0,0.0,1,2.0,1,0,IPS LCD Touchscreen,1,MediaTek Helio G85 (12 nm),"Octa core, up to 2.0 GHz",Mali-G52 MC2,1,1
1.0,2020.0,8.0,4.0,6.0,3.0,5.0,64.0,6000.0,1080.0,4.0,18.0,0.0,1,2.0,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 662 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
2.0,2021.0,16.0,3.0,8.0,3.0,5.1,128.0,4250.0,1080.0,5.0,33.0,53.0,1,2.0,1,0,AMOLED Touchscreen,1,Qualcomm Snapdragon 732G (8nm),"Octa core, up to 2.3 GHz",Adreno 618,1,1
1.0,2021.0,13.0,3.0,6.0,3.0,5.0,64.0,5000.0,1080.0,5.0,33.0,53.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 678 (11 nm),"Octa core, up to 2.0 GHz",Adreo 612,1,1
1.0,2021.0,8.0,4.0,6.0,3.0,5.0,64.0,6000.0,1080.0,4.0,18.0,0.0,1,2.0,1,0,IPS LCD Touchscreen,1,Qualcomm Snapdragon 662 (11 nm),"Octa core, up to 2.0 GHz",Adreno 610,1,1
